2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/icon_run_selected.gif, status=200, durationMs=0
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/icon_rollback.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/icon_stop.gif, status=200, durationMs=2
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/icon_help.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/icon_run.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/icon_history.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tables.do?jsessionid=7212fb4b3aeb338dc95be4fe1e512664, status=200, durationMs=35
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree.js, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_column.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_table.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_minus.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_database.gif, status=200, durationMs=0
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_plus.gif, status=200, durationMs=2
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_empty.gif, status=200, durationMs=2
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_users.gif, status=200, durationMs=0
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_folder.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_index.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_index_az.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_view.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_type.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_info.gif, status=200, durationMs=1
2026-04-30 15:31:24 INFO  - method=GET, uri=/h2-console/tree_user.gif, status=200, durationMs=1
2026-04-30 15:31:31 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=7212fb4b3aeb338dc95be4fe1e512664, status=200, durationMs=8
2026-04-30 15:31:31 INFO  - method=GET, uri=/h2-console/table.js, status=200, durationMs=2
2026-04-30 15:31:47 INFO  - method=POST, uri=/h2-console/query.do?jsessionid=7212fb4b3aeb338dc95be4fe1e512664, status=200, durationMs=1
2026-04-30 15:38:23 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=255
2026-04-30 15:38:31 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=138
